uuid,name,age,gender,education,occupation,marriage_status,migration_status,origin,religion,sexuality,appearance,biography
ad458017-c7e9-443d-9f77-8e598ba12153,analysisThe user wants a name for the attributes. The instruction says,23,male,Realschule oder gleichwertiger Abschluss,Lehrer/in,single,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"analysisWe need to produce a description of appearance: 23-year-old male teacher, single, German origin, no migration, Realschule education, religiously unaffiliated, heterosexual. Need realistic and plausible description considering sociocultural factors","analysisWe need to produce a biography of 3-5 sentences, realistic, considering attributes: age 23, male, occupation teacher (teacher or teaching?), single, education Realschule or equivalent, no migration background, from Germany, religiously unaffiliated, heterosexual. Should reflect typical life events. Use German? The user wrote in German; likely answer should be in German. Provide 3-5 sentences. Ok.

We can say: He grew up in a small town"
b648397f-0592-4100-b1e0-3a7177ee8ab4,analysisWe need to generate a name that fits the attributes: age,58,female,Abschluss der polytechnischen Oberschule,Erzieher/in,married,without_migration,Deutschland,Christians,heterosexual,"analysisWe need to generate a realistic description of appearance based on attributes. The user wants a short sentence(s). We should consider age 58 female, occupation Erzieher (childcare worker), married, education polytechnical school, no migration","analysisWe need to produce a biography in German, 3-5 sentences, based on the attributes. The user says ""generiere eine Biografie"" and the assistant should output only the biography, no extra text. So we will give 3-5 sentences about a 58-year-old German woman, married, Christian, hetero, works as an early childhood teacher, education from polytechnical secondary school, no migration background. Provide plausible life events: grew up in Germany, attended"
c0c12c7b-fe97-4345-ac52-7f5374254f95,analysisThe user wants a name that fits attributes: age 51,51,male,Fachhochschul- oder Hochschulreife,Buchhalter/in,single,without_migration,Deutschland,Muslims,heterosexual,"analysisWe need to produce description of appearance, 1-2 short sentences. Attributes: age 51 male German, accountant, single, college degree, no migration background, Muslim religion (though Germany). So maybe he has some modest dress","analysisWe need to generate a short biography (3-5 sentences) based on attributes: age 51, male, occupation: Buchhalter/in (accountant). Marital status single. Education: Fachhochschul- oder Hochschulreife (technical college or university entrance qualification). Migration status: without migration (native German). Origin: Germany. Religion: Muslims (so presumably Muslim but from Germany). Sexuality: heterosexual.

Need to consider sociocultural factors and typical life events"
629d4264-24d3-40cd-8e03-1a4abe81b684,analysisThe user wants a name that matches attributes: age 54,54,female,Realschule oder gleichwertiger Abschluss,Wissenschaftler/in,married,without_migration,Deutschland,Christians,heterosexual,"analysisWe need to generate a realistic description of appearance based on attributes. Provide only description in 1-2 short sentences, descriptive and concrete. Attributes:

Age 54, female, scientist (probably research). Married. Education Realschule","analysisWe need to produce 3-5 sentences biography, realistic and plausible, considering demographics: 54-year-old female scientist, married, education: Realschule or equivalent (i.e., lower secondary), no migration, from Germany, Christian, heterosexual.

She is a scientist but with only Realschule? Maybe she worked her way up via vocational training, apprenticeship, maybe a PhD? But it's possible that she works as a research assistant, lab technician, or a science journalist"
cfa34f11-5dab-432c-927b-1c6dfb3335da,analysisThe user asks: Generate a name for the following attributes:,0,male,Unknown,Unemployed,single,with_migration,Jordanien,Muslims,heterosexual,analysisWe need to produce a short description of appearance. Age 0? Means newborn? Actually age=0 indicates infant or newborn. Gender male. Occupation unemployed irrelevant. Single. Education unknown. Migration status with migration (migrant).,"analysisWe need to generate biography of a male child (age 0). He is unemployed (makes sense as infant), single (n/a), education unknown, migration status with migration (he migrated from Jordanian origin, now presumably living somewhere else). Religion Muslim. Sexuality hetero (not relevant at age 0). We should produce 3-5 sentences about plausible life events given these attributes. The child was born in Jordan, recently immigrated with family? Or maybe the parents"
d2effa72-ed51-4009-a443-8dc0dc694c91,analysisWe need to generate a name appropriate for an elderly German woman,87,female,Haupt- (Volks-)schulabschluss,Rentner/in,widowed,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"analysisWe need to generate a realistic description of the appearance of an 87-year-old German woman, retired, widowed, with Hauptschule education, no migration background, religiously unaffiliated, heterosexual. Provide 1-2 short","analysisWe need to produce biography of 3-5 sentences. Use attributes. German context. Provide plausible realistic biography. Ensure 3-5 sentences. No other text. Let's craft:

She grew up in rural Germany, completed Hauptschule, worked as a teacher assistant, married early, had two children, widowed after husband's death, now retired, lives with daughter, enjoys gardening, attends local church occasionally but no strong affiliation. She is heterosexual. Provide 3-5 sentences."
78214f92-df23-4ac3-a8bb-a3ef2be74976,analysisWe need to generate a name appropriate to attributes: age,35,female,Fachhochschul- oder Hochschulreife,Anwalt/Anwältin,married,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"analysisWe need to produce description of appearance, 1-2 short sentences, describing plausible realistic look based on demographics. No other content. Use German? The user wrote attributes in English but earlier conversation is German. Probably answer in German.","analysisWe need to generate a biography in German (since user used German). The instructions say: ""Formulate the biography in 3–5 sentences."" Use realistic plausible life events considering demographic attributes: age 35, female, lawyer, married, education: Fachhochschul- or Hochschulreife (so maybe she studied law at university or university of applied sciences), migration status: without migration (native-born), origin Germany, religion: Religiously unaffiliated, sexuality:"
765cb220-2436-4d63-951a-756edf933d5e,analysisWe need to generate a name for the described attributes. Lik,1,male,Unknown,Unemployed,single,without_migration,Deutschland,Christians,heterosexual,"analysisWe need to produce description of appearance based on attributes: age 1 year old male child in Germany, unemployed? irrelevant; single, unknown education, no migration, Christian religion. Provide realistic description: likely small toddler with typical German features","analysisWe need to produce a biography in German? The user gave attributes and we should generate a biography. They didn't specify language but given the instruction is in German, likely answer should be in German. It's about a one-year-old male child from Germany, Christian, single (child), unemployed (makes no sense). We have to create plausible biography of such person. For a 1 year old, can't have occupation. So we should incorporate that it's an infant, maybe his parents are unemployed"
ea97e944-2d34-4478-b94f-0fe72327aa5f,analysisWe need to generate a name that fits the attributes: age,54,female,Realschule oder gleichwertiger Abschluss,Sozialarbeiter/in,single,with_migration,Irak,Muslims,heterosexual,"analysisWe need to generate a description of appearance from these attributes. The user gave attributes: age 54, female, occupation social worker, single, education realschule, migration status with migration, origin Iraq, religion Muslim, sexuality heterosexual","analysisWe need to produce a biography of 3-5 sentences, plausible and realistic, considering demographic data: 54-year-old female, occupation social worker, single, education Realschule or equivalent, migration status with migration, origin Iraq, religion Muslims, sexuality heterosexual. We should incorporate her background as an immigrant from Iraq, Muslim faith, settled perhaps in Germany? Social work career maybe helping migrants, etc. Single at 54. Education limited to Realschule, but she pursued"
65d97cd2-d614-4c3d-9863-1e5882c37eeb,analysisThe user wants a name generated for the given attributes. The,44,male,Realschule oder gleichwertiger Abschluss,Polizist/in,single,without_migration,Deutschland,Muslims,heterosexual,"analysisWe need to produce a description of appearance, 1-2 short sentences, describing likely physical features considering demographics: age 44 male, German origin, Muslim, single, police officer, Realschule education, no migration background.","analysisWe need to generate a biography of 3-5 sentences, realistic and plausible given attributes:

Age 44 male, occupation police officer, single, education Realschule or equivalent (so likely high school), no migration background, origin Germany, religion Muslims, sexuality heterosexual. Provide biography in German? The user wrote German instructions. So answer should be in German. Should incorporate these facts into plausible life events. 3-5 sentences. Let's craft:

""Michael Weber ist 44"
bb83bded-fb9a-4f23-9e79-01cbd6ed7c06,analysisThe user wants a name based on the attributes. The system,68,female,Realschule oder gleichwertiger Abschluss,Rentner/in,married,with_migration,Syrien,Muslims,heterosexual,"analysisWe need to produce description of appearance based on attributes. The user wants a plausible realistic description. Must consider age 68 female, retired, married, education Realschule, migration status with migration, origin Syria, religion Muslim, sexuality","analysisWe need to produce a biography of 3-5 sentences. The user provided attributes: age 68, female, occupation: retired (Rentner/in), married, education: Realschule or equivalent, migration status: with migration, origin: Syria, religion: Muslim, sexuality: heterosexual. So we should create a plausible life story: Born in Syria, moved to Germany (or another country) as refugee, settled, worked maybe in manual labor or service industry, now retired"
30db49f4-552b-4f73-9fff-6d319218de59,analysisWe need to generate a name appropriate for a 9-year,9,female,Unknown,Schüler/in,single,with_migration,Ukraine,Christians,heterosexual,"analysisWe need to produce description of appearance based on attributes: age 9 female student from Ukraine, migration status with migration, Christian, heterosexual, unknown education (but presumably child). Should consider typical features: maybe Caucasian, hair dark brown","analysisWe need to produce a biography of 3-5 sentences. The person is a 9-year-old female Ukrainian child, Christian, with migration status ""with_migration"" meaning she migrated? She is a student (schüler/in). Education unknown but presumably school-aged. Single obviously. Heterosexual as typical for child. Provide plausible realistic biography considering sociocultural and age factors. Should be short, 3-5 sentences. Use German language likely because attributes are in German"
5fea54ce-c91f-4801-bc3b-6df6d48165b4,analysisWe need to generate a name suitable for these attributes: age,53,male,Realschule oder gleichwertiger Abschluss,Sozialarbeiter/in,single,with_migration,Malta,Christians,heterosexual,"analysisWe need to produce a realistic appearance description of a 53-year-old male social worker from Malta, with migration status, single, Realschule education, Christian, heterosexual. Should consider cultural and age factors. Provide 1-2","analysisWe need to produce a biography in German (since the prompt is German). The attributes: age 53, male, occupation Sozialarbeiter/in (though gender male but job listed as Sozialarbeiter/in maybe just generic), single, education Realschule or equivalent, migration status with migration, origin Malta, religion Christians, sexuality heterosexual.

Need 3-5 sentences realistic and plausible, considering sociodemographic factors, typical life events from origin, profession, etc. So a man born"
9b43c89a-2fc1-4f7b-af60-59a0a59ff2e8,analysisWe need to generate a name that fits the attributes: age,37,female,Fachhochschul- oder Hochschulreife,Anwalt/Anwältin,married,with_migration,Polen,Christians,heterosexual,"analysisWe need to produce a description of appearance based on attributes. Must be 1-2 short sentences, descriptive and concrete. No extra content. Provide plausible realistic description: age 37 female, lawyer, married, education degree, migration","analysisWe need to produce a short biography (3-5 sentences) about a 37-year-old female lawyer from Poland with migration background, Christian, heterosexual, married, education is Fachhochschul- or Hochschulreife (i.e., high school or university degree). Should incorporate cultural and age-related factors, typical life events like migration, career path, etc. Provide only the biography, no other text. 3-5 sentences. Let's craft:

""Anna Kowalska"
c0ebc49f-feb6-42db-be3f-05e525225a75,analysisThe user wants a name that fits attributes: age 62,62,female,Realschule oder gleichwertiger Abschluss,Arzt/Ärztin,widowed,with_migration,Bulgarien,Religiously_unaffiliated,heterosexual,"analysisWe need to produce description of appearance based on attributes. Must be 1-2 short sentences, descriptive and concrete. Only output the description. Use German likely because prompt is German. So produce a plausible appearance: age 62 female","analysisWe need to produce biography of 3-5 sentences. Attributes: age 62 female, occupation doctor/Ärztin (so she is a medical doctor), widowed, education Realschule or equivalent (i.e., high school level). Migration status with migration from Bulgaria origin. Religiously unaffiliated. Heterosexual.

Need plausible realistic biography: She moved from Bulgaria to Germany? Or other country. Age 62 means born ~1961. She studied medicine"
a400a819-8895-4aa2-b2cd-1bcf49b95e0c,analysisThe user wants to generate a name based on attributes. The,13,female,Unknown,Schüler/in,single,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"analysisWe need to generate an appearance description in 1-2 short sentences, describing the appearance plausibly and realistically based on demographics. Attributes:

Age 13 female student from Germany, no migration background, religiously unaffiliated, heterosexual","analysisWe need to produce biography of 13-year-old German girl, no migration background, school student, unmarried, unknown education (but presumably primary/secondary), religiously unaffiliated, heterosexual. Provide 3-5 sentences. Should incorporate sociocultural and age factors typical events: maybe attending school, hobbies, family background, future aspirations. Use realistic tone. No mention of the prompt or attributes explicitly. Just biography. Let's write 4 sentences.assistantfinal"
a4427bd1-1fe4-4134-8440-5c17628d9c55,analysisWe need to generate a name that fits the attributes: age,52,female,Realschule oder gleichwertiger Abschluss,Lehrer/in,married,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"analysisWe need to generate a description of appearance, 1-2 short sentences, describing and concrete. Use demographics: age 52 female teacher, married, German, no migration background, realschule education, religiously unaffiliated","analysisWe need to produce a biography in German? The user provided attributes and instruction is German. Should answer with biography in 3-5 sentences. Must consider demographic data: age 52 female teacher, married, Realschule or equivalent, no migration, Germany, non-religious, heterosexual. So write plausible life story: grew up in small town, attended Realschule, became teacher after Ausbildung, works at primary school, married mid-thirties, has two kids maybe,"
0979904f-cf5e-4ccd-837b-09ceac0c10b4,analysisThe user wants a name that fits these attributes: age,57,female,Realschule oder gleichwertiger Abschluss,Soldat/in,divorced,with_migration,Ukraine,Muslims,heterosexual,"analysisWe need to produce a description of appearance for a 57-year-old female soldier from Ukraine, with migration status (immigrant), Muslim religion, divorced, Realschule education. We need plausible and realistic external appearance reflecting sociocultural","analysisWe need to generate a realistic biography in German, 3-5 sentences. Must consider the attributes: age 57, female, occupation soldier (military), married status divorced, education Realschule or equivalent, migration status with migration, origin Ukraine, religion Muslim, sexuality heterosexual. She is 57-year-old woman from Ukraine, migrated, now a soldier. We should incorporate typical life events: grew up in Ukraine, maybe emigrated to Germany? Or could be in another"
8d572b3f-d006-4cb1-94b8-ac884f976382,analysisWe need to generate a name suitable for a 1-year,1,female,Unknown,Unemployed,single,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"analysisWe need to produce a description of appearance based on demographics. The user provided attributes:

- age: 1 (one year old)
- gender: female
- occupation: unemployed (not relevant for a 1-year-old; maybe","analysisWe need to generate a biography of a person with given attributes: age 1 year old, female, unemployed (child), single (no spouse), education unknown, migration status without migration, origin Germany, religion religiously unaffiliated, sexuality heterosexual (though at age 1 irrelevant). We should produce 3-5 sentences. It's about a 1-year-old child from Germany, presumably living in Germany, no parents? But the occupation is Unemployed - it's a child"
99494bdc-806a-4e5f-8026-3293cb77adbc,analysisWe need to generate a name that fits the attributes: age,11,female,Unknown,Schüler/in,single,without_migration,Deutschland,Christians,heterosexual,"analysisWe need to produce a realistic description of appearance for an 11-year-old German girl, student, single, unknown education (child), no migration, Christian. We should give 1-2 short sentences describing her look. No extra","analysisWe need to generate a biography of 3-5 sentences. The person is an 11-year-old female student from Germany, Christian, single (makes sense), unknown education? But she's a student; maybe primary school. No migration background. Heterosexual. We should incorporate typical life events, cultural context. Let's craft 3-5 sentences. Probably 4 sentences. Use German language. Provide plausible realistic biography.

Let's produce:

""Anna Müller ist elf Jahre alt und besucht"
408147eb-d1e3-4203-8244-374b85973d3d,analysisWe need to generate a name appropriate for these attributes. Female,30,female,Fachhochschul- oder Hochschulreife,Mechaniker/in,single,with_migration,Indien,Hindus,heterosexual,"analysisWe need to generate an appearance description based on attributes: age 30, female, occupation mechanic, single, education Fachhochschule/University, migration status with migration (so immigrant), origin India, religion Hindu, sexuality heterosexual. We","analysisWe need to generate a biography in 3-5 sentences, realistic, plausible. Must incorporate attributes: age 30, female, occupation mechanic, single, education Fachhochschul- or Hochschulreife (German higher secondary), migration status with migration, origin India, religion Hindu, sexuality heterosexual. So she is an Indian-born woman living in Germany likely, working as mechanic. She has German education. Single, heterosexual. Provide 3-5 sentences. Let's write"
4ccaaa4f-046b-487b-ac0a-aef7d15d013d,analysisWe need to generate a name appropriate for the attributes: age,41,male,Haupt- (Volks-)schulabschluss,Koch/Köchin,divorced,with_migration,Bulgarien,Christians,heterosexual,"analysisWe need to output only description of appearance. Use 1-2 short sentences, descriptive and concrete, considering factors: age 41 male, chef, divorced, high school education, migration status: with migration from Bulgaria, Christian.","analysisWe need to produce biography 3-5 sentences. Attributes: age 41 male, occupation cook chef, divorced, education Hauptschule, migration status with migration (immigrant), origin Bulgaria, religion Christians, sexuality heterosexual. Need plausible realistic biography. Should consider German context maybe? He is immigrant from Bulgaria, Christian, works as cook/chef, divorced at 41, primary school education. Write 3-5 sentences. Let's produce something like:

""Born in Sofia in"
00a80a13-d5a6-4a67-985e-f6ff61c45687,analysisWe need to generate a name that fits the attributes. Age,54,male,Haupt- (Volks-)schulabschluss,Bauarbeiter/in,single,with_migration,Bosnien und Herzegowina,Christians,heterosexual,"analysisWe need to generate an appearance description based on demographic attributes: age 54 male, occupation construction worker, single, primary school education, migrant from Bosnia and Herzegovina, Christian, heterosexual. We should consider typical features: maybe moderate","analysisWe need to generate a biography in German? The user wrote attributes in English but context is German. The instruction says ""Formuliere die Biografie in 3–5 Sätzen."" Likely German output. Provide 3-5 sentences. Use plausible details considering age 54 male, occupation Bauarbeiter, single, Hauptschule, migration status with migration from Bosnia and Herzegovina, Christian, heterosexual. Need to consider typical life events: grew up in Bosnia, emigrated"
7d1f8802-c0f8-40ea-80a1-6b52cf79bdee,analysisThe user wants a name generated for those attributes. The assistant,58,male,Fachhochschul- oder Hochschulreife,Sekretär/in,married,without_migration,Deutschland,Muslims,heterosexual,"analysisWe need to generate a realistic description of appearance based on demographics. The user provided attributes: age 58 male, occupation secretary, married, education Fachhochschul or Hochschulreife (i.e., higher secondary), no migration","analysisWe need to produce 3-5 sentences biography. Use German? The prompt is German. So respond in German with 3-5 sentences. Use attributes: age 58 male, occupation secretary, married, education Fachhochschul- or Hochschulreife (i.e., college/university degree), migration status without migration, origin Germany, religion Muslim, sexuality heterosexual. Generate plausible biography. 3-5 sentences. Let's do 4 sentences. Ensure mention of being"
296d4c1d-8078-4a0c-b49a-663d4d265252,analysisThe user wants a name generated for the given attributes. They,28,male,Fachhochschul- oder Hochschulreife,Lehrer/in,single,without_migration,Deutschland,Christians,heterosexual,"analysisWe need to produce description of appearance only. The user gave attributes: age 28 male teacher, single, high education, no migration, German origin, Christian, heterosexual. We should create plausible realistic look. In 1-2","analysisWe need to generate a biography (3-5 sentences) from given attributes. The user provided German attributes; we should produce the biography in German presumably. They said ""Formuliere die Biografie in 3–5 Sätzen."" So produce 3-5 sentences. Use plausible details based on demographics: 28-year-old male teacher in Germany, single, Christian, heterosexual, no migration background, with high school or university degree. Provide realistic life events: maybe studied at"
86c4207c-f8d6-4db1-a4fc-66ae42da9178,analysisWe need to generate a name that fits attributes: age,50,female,Haupt- (Volks-)schulabschluss,Wissenschaftler/in,married,with_migration,Gambia,Muslims,heterosexual,"analysisWe need to generate description of appearance based on attributes. Age 50 female scientist, married, primary school education, migration status with migration from Gambia, Muslim, heterosexual. So we imagine she is a Gambian woman, now living","analysisWe need to generate biography in German, 3-5 sentences. Include given attributes: age 50 female scientist, married, primary school education, migration status with migration from Gambia, Muslim, heterosexual. Must consider socio-cultural factors: likely immigrated to Germany or similar, became scientist maybe in biology? Could be working as research assistant due to limited formal education but high motivation, possibly in community health. Married, maybe partner also immigrant. Provide plausible life events: grew up in"
ac05f98f-8bf5-4a24-a6f1-7dd79fdba648,analysisWe need to generate a name suitable for a female Ukrainian-born,34,female,Realschule oder gleichwertiger Abschluss,Koch/Köchin,married,with_migration,Ukraine,Religiously_unaffiliated,heterosexual,"analysisWe need to produce a realistic description of appearance given attributes: age 34, female, occupation chef, married, education Realschule or equivalent, migration status with migration, origin Ukraine, religion not affiliated, sexuality heterosexual. We should","analysisWe need to produce a biography of 3-5 sentences. The user wants a realistic biographic narrative based on the attributes. Must not mention ""I"" presumably? We can say: ""Anna, 34, is..."" etc. Provide plausible details: Ukrainian origin, migrated, married, works as cook, realschule, religiously unaffiliated, heterosexual. Need to incorporate typical life events: migration experience, integration, maybe cooking career. Use German context (since occupation"
8e8c22a5-990a-47ed-ac16-f850ef288317,analysisWe need to generate a name that fits the attributes: age,77,female,Haupt- (Volks-)schulabschluss,Rentner/in,married,without_migration,Deutschland,Christians,heterosexual,"analysisWe need to produce a short description of appearance based on attributes. Age 77 female retired from Germany, married, primary school education, no migration background, Christian. So typical German older woman, maybe gray hair, spectacles, simple clothing","analysisWe need to generate a short biography of 3-5 sentences. The attributes: age 77, female, occupation: Rentner/in (retired), married, education: Haupt-(Volks)schulabschluss (German main school), migration status: without migration (native German), origin Germany, religion Christians, sexuality heterosexual.

Need plausible realistic life events considering sociodemographic factors. 77-year-old German woman, retired, married. She had primary school only, worked perhaps"
d7d1e26a-f280-4e73-9ef7-cf6f243e2962,analysisWe need to generate a name that fits attributes: age,26,diverse,Fachhochschul- oder Hochschulreife,Informatiker/in,single,with_migration,Aserbaidschan,Muslims,heterosexual,"analysisWe need to produce description of appearance: 1-2 short sentences, describing physically plausible, realistic, considering demographics: age 26, gender diverse (so non-binary? or gender identity?), occupation: IT professional, single,","analysisWe need to produce 3-5 sentences biography based on attributes. German output. Must consider migration status: with migration (so immigrant). Age 26, gender diverse, occupation IT professional, single, education secondary or university entrance qualification. Origin Azerbaijan, religion Muslim, sexuality heterosexual. Provide plausible realistic biography. Use 3-5 sentences. Should reflect social context. Let's craft:

""Als 26-jährige Informatikerin, die ursprünglich aus Aserbaidschan stammt, hat"
c48ac87f-d4ef-4275-80cb-311088f18fd9,analysisWe need to generate a name based on attributes: age,73,male,Fachhochschul- oder Hochschulreife,Rentner/in,married,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"analysisWe need to output only the description of appearance. 1-2 short sentences describing appearance plausibly given attributes. So 73-year-old German male retired, married, educated, no migration background, religiously unaffiliated. He","analysisWe need to generate a biography of 3-5 sentences. The attributes: age 73, male, retired, married, education: Fachhochschul- or Hochschulreife (i.e., high school or university-level), migration status: without migration, origin: Germany, religion: Religiously unaffiliated, sexuality: heterosexual.

So we should produce plausible life story: born in Germany, grew up in a small town maybe, studied at university, had career as"
