"pretest_id","scenario","question","adjective","response_in_order","response_reverse"
"pre_043","Ben unterstützt seine Schwester bei der Suche nach einem neuen Job.","Wie unterstützend war Ben?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_044","Lisa hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Lisa?","großzügig","5. sehr großzügig","1. sehr großzügig"
"pre_045","Oliver hört aufmerksam zu, wenn sein Kollege von seinen Ideen erzählt.","Wie aufmerksam war Oliver?","aufmerksam","5. sehr aufmerksam","1. sehr aufmerksam"
"pre_046","Clara gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Clara?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_047","Felix hilft einem Kollegen, der gesundheitliche Probleme hat.","Wie fürsorglich war Felix?","fürsorglich","5. sehr fürsorglich","1. sehr fürsorglich"
"pre_048","Sophie respektiert die Grenzen ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Sophie?","respektvoll","5. sehr respektvoll","1. sehr respektvoll"
"pre_049","Lukas unterstützt seine Kollegin bei einem schwierigen Projekt.","Wie hilfsbereit war Lukas?","hilfsbereit","5. sehr hilfsbereit","1. sehr hilfsbereit"
"pre_050","Mia organisiert ein Team-Event, um den Zusammenhalt zu stärken.","Wie teamfördernd war Mia?","teamfördernd","5. sehr teamfördernd","1. sehr teamfördernd"
"pre_051","Tim gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Tim?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_052","Anna hört aufmerksam zu, wenn ihr Freund von seinen Problemen erzählt.","Wie aufmerksam war Anna?","aufmerksam","5. sehr aufmerksam","1. sehr aufmerksam"
"pre_053","Max hilft einem Nachbarn, der gesundheitliche Probleme hat.","Wie fürsorglich war Max?","fürsorglich","5. sehr fürsorglich","1. sehr fürsorglich"
"pre_054","Julia respektiert die Privatsphäre ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Julia?","respektvoll","5. sehr respektvoll","1. sehr respektvoll"
"pre_055","Ben hilft einem Kollegen, der Schwierigkeiten hat, eine Aufgabe zu bewältigen.","Wie unterstützend war Ben?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_056","Lisa nimmt sich Zeit, um einem neuen Teammitglied bei der Einarbeitung zu helfen.","Wie geduldig war Lisa?","geduldig","5. sehr geduldig","1. sehr geduldig"
"pre_057","Oliver gibt konstruktives Feedback zu den Ideen eines Kollegen.","Wie konstruktiv war Olivers Feedback?","konstruktiv","5. sehr konstruktiv","1. sehr konstruktiv"
"pre_058","Clara unterstützt ihre Freundin emotional in einer schwierigen Zeit.","Wie unterstützend war Clara?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_059","Felix hilft einem Freund, der in einer finanziellen Notlage ist.","Wie großzügig war Felix?","großzügig","5. sehr großzügig","1. sehr großzügig"
"pre_060","Sophie hört geduldig zu, wenn ihr Kind von der Schule erzählt.","Wie geduldig war Sophie?","geduldig","5. sehr geduldig","1. sehr geduldig"
"pre_061","Lukas gibt einem Kollegen Tipps, um seine Arbeit effizienter zu gestalten.","Wie hilfreich war Lukas?","hilfreich","5. sehr hilfreich","1. sehr hilfreich"
"pre_062","Mia organisiert ein Treffen, um Konflikte im Team zu lösen.","Wie konfliktlösend war Mia?","konfliktlösend","5. sehr konfliktlösend","1. sehr konfliktlösend"
"pre_063","Tim unterstützt seine Schwester bei der Vorbereitung auf eine Prüfung.","Wie unterstützend war Tim?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_064","Anna hilft einem Freund, der gesundheitliche Probleme hat.","Wie fürsorglich war Anna?","fürsorglich","5. sehr fürsorglich","1. sehr fürsorglich"
"pre_065","Max hört aufmerksam zu, wenn sein Freund von seinen Sorgen erzählt.","Wie aufmerksam war Max?","aufmerksam","5. sehr aufmerksam","1. sehr aufmerksam"
"pre_066","Julia gibt einem Kollegen konstruktives Feedback zu seiner Präsentation.","Wie konstruktiv war Julias Feedback?","konstruktiv","5. sehr konstruktiv","1. sehr konstruktiv"
"pre_067","Ben unterstützt seine Freundin bei der Planung ihrer Hochzeit.","Wie unterstützend war Ben?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_068","Lisa hilft einem Kollegen, der in einer schwierigen Situation steckt.","Wie hilfsbereit war Lisa?","hilfsbereit","5. sehr hilfsbereit","1. sehr hilfsbereit"
"pre_069","Oliver hört geduldig zu, wenn sein Freund von seinen Problemen erzählt.","Wie geduldig war Oliver?","geduldig","5. sehr geduldig","1. sehr geduldig"
"pre_070","Clara gibt einem Kollegen Ratschläge, die ihm bei seiner Arbeit helfen.","Wie hilfreich war Clara?","hilfreich","5. sehr hilfreich","1. sehr hilfreich"
"pre_071","Felix unterstützt seine Schwester bei der Suche nach einem neuen Job.","Wie unterstützend war Felix?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_072","Sophie hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Sophie?","großzügig","5. sehr großzügig","1. sehr großzügig"
"pre_073","Lukas hört aufmerksam zu, wenn sein Kollege von seinen Ideen erzählt.","Wie aufmerksam war Lukas?","aufmerksam","5. sehr aufmerksam","1. sehr aufmerksam"
"pre_074","Mia gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Mia?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_075","Tim hilft einem Kollegen, der gesundheitliche Probleme hat.","Wie fürsorglich war Tim?","fürsorglich","5. sehr fürsorglich","1. sehr fürsorglich"
"pre_076","Anna respektiert die Grenzen ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Anna?","respektvoll","5. sehr respektvoll","1. sehr respektvoll"
"pre_077","Max unterstützt seine Kollegin bei einem schwierigen Projekt.","Wie hilfsbereit war Max?","hilfsbereit","5. sehr hilfsbereit","1. sehr hilfsbereit"
"pre_078","Julia organisiert ein Team-Event, um den Zusammenhalt zu stärken.","Wie teamfördernd war Julia?","teamfördernd","5. sehr teamfördernd","1. sehr teamfördernd"
"pre_079","Ben gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Ben?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_080","Lisa hört aufmerksam zu, wenn ihr Freund von seinen Problemen erzählt.","Wie aufmerksam war Lisa?","aufmerksam","5. sehr aufmerksam","1. sehr aufmerksam"
"pre_081","Oliver hilft einem Nachbarn, der gesundheitliche Probleme hat.","Wie fürsorglich war Oliver?","fürsorglich","5. sehr fürsorglich","1. sehr fürsorglich"
"pre_082","Clara respektiert die Privatsphäre ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Clara?","respektvoll","5. sehr respektvoll","1. sehr respektvoll"
"pre_083","Felix hilft einem Kollegen, der Schwierigkeiten hat, eine Aufgabe zu bewältigen.","Wie unterstützend war Felix?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_084","Sophie nimmt sich Zeit, um einem neuen Teammitglied bei der Einarbeitung zu helfen.","Wie geduldig war Sophie?","geduldig","5. sehr geduldig","1. sehr geduldig"
"pre_085","Lukas gibt konstruktives Feedback zu den Ideen eines Kollegen.","Wie konstruktiv war Lukas' Feedback?","konstruktiv","5. sehr konstruktiv","1. sehr konstruktiv"
"pre_086","Mia unterstützt ihre Freundin emotional in einer schwierigen Zeit.","Wie unterstützend war Mia?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_087","Tim hilft einem Freund, der in einer finanziellen Notlage ist.","Wie großzügig war Tim?","großzügig","5. sehr großzügig","1. sehr großzügig"
"pre_088","Anna hört geduldig zu, wenn ihr Kind von der Schule erzählt.","Wie geduldig war Anna?","geduldig","5. sehr geduldig","1. sehr geduldig"
"pre_089","Max gibt einem Kollegen Tipps, um seine Arbeit effizienter zu gestalten.","Wie hilfreich war Max?","hilfreich","5. sehr hilfreich","1. sehr hilfreich"
"pre_090","Julia organisiert ein Treffen, um Konflikte im Team zu lösen.","Wie konfliktlösend war Julia?","konfliktlösend","5. sehr konfliktlösend","1. sehr konfliktlösend"
"pre_091","Ben unterstützt seine Schwester bei der Vorbereitung auf eine Prüfung.","Wie unterstützend war Ben?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_092","Lisa hilft einem Freund, der gesundheitliche Probleme hat.","Wie fürsorglich war Lisa?","fürsorglich","5. sehr fürsorglich","1. sehr fürsorglich"
"pre_093","Oliver hört aufmerksam zu, wenn sein Freund von seinen Sorgen erzählt.","Wie aufmerksam war Oliver?","aufmerksam","5. sehr aufmerksam","1. sehr aufmerksam"
"pre_094","Clara gibt einem Kollegen konstruktives Feedback zu seiner Präsentation.","Wie konstruktiv war Claras Feedback?","konstruktiv","5. sehr konstruktiv","1. sehr konstruktiv"
"pre_095","Felix unterstützt seine Freundin bei der Planung ihrer Hochzeit.","Wie unterstützend war Felix?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_096","Sophie hilft einem Kollegen, der in einer schwierigen Situation steckt.","Wie hilfsbereit war Sophie?","hilfsbereit","5. sehr hilfsbereit","1. sehr hilfsbereit"
"pre_097","Lukas hört geduldig zu, wenn sein Freund von seinen Problemen erzählt.","Wie geduldig war Lukas?","geduldig","5. sehr geduldig","1. sehr geduldig"
"pre_098","Mia gibt einem Kollegen Ratschläge, die ihm bei seiner Arbeit helfen.","Wie hilfreich war Mia?","hilfreich","5. sehr hilfreich","1. sehr hilfreich"
"pre_099","Tim unterstützt seine Schwester bei der Suche nach einem neuen Job.","Wie unterstützend war Tim?","unterstützend","5. sehr unterstützend","1. sehr unterstützend"
"pre_100","Anna hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Anna?","großzügig","5. sehr großzügig","1. sehr großzügig"
