Region;Country;Year;Population;Christians;Muslims;Religiously_unaffiliated;Buddhists;Hindus;Jews;Other_religions;Level;Countrycode
Latin America-Caribbean;Colombia;2020;50,629,998;43,666,834;1,988;5,034,446;4,669;519;2,095;1,919,446;1;170
Sub-Saharan Africa;Comoros;2020;802,164;4,091;788,527;1,043;0;5;0;8,498;1;174
Latin America-Caribbean;Costa Rica;2020;5,034,320;4,423,112;1,268;508,396;2,467;472;2,555;96,052;1;188
Europe;Croatia;2020;3,953,958;3,592,480;54,272;263,248;881;463;606;42,007;1;191
Latin America-Caribbean;Cuba;2020;11,176,354;6,778,898;8,940;2,414,969;5,588;23,468;1,118;1,943,374;1;192
Asia-Pacific;Cyprus;2020;1,302,248;882,257;317,212;85,559;7,261;3,473;570;5,917;1;196
Europe;Czech Republic;2020;10,550,130;2,786,580;34,513;7,681,911;7,217;1,778;2,723;35,407;1;203
Sub-Saharan Africa;Democratic Republic of the Congo;2020;95,989,998;92,401,422;1,219,602;1,128,415;147;1,150;103;1,239,159;1;180
Europe;Denmark;2020;5,831,530;4,484,810;246,038;969,836;38,283;25,374;6,189;60,999;1;208
Sub-Saharan Africa;Djibouti;2020;1,105,189;12,158;1,079,460;12,172;0;442;0;956;1;262
Latin America-Caribbean;Dominican Republic;2020;11,008,300;8,546,468;2,732;2,157,747;4,684;701;100;295,869;1;214
Latin America-Caribbean;Ecuador;2020;17,546,065;15,532,412;3,182;1,472,360;3,861;1,397;599;532,255;1;218
Middle East-North Africa;Egypt;2020;109,315,124;5,270,537;104,038,012;5,086;59;187;234;1,009;1;818
Latin America-Caribbean;El Salvador;2020;6,234,674;5,430,923;218;740,804;416;119;99;62,094;1;222
Sub-Saharan Africa;Equatorial Guinea;2020;1,716,469;1,522,171;69,484;85,605;742;857;1,075;36,534;1;226
Sub-Saharan Africa;Eritrea;2020;3,291,271;1,536,075;1,700,586;34,925;28;987;9;18,660;1;232
Europe;Estonia;2020;1,329,670;699,590;7,953;579,774;2,608;835;1,800;37,108;1;233
Sub-Saharan Africa;Eswatini;2020;1,192,730;1,111,963;1,619;73,424;273;1,517;202;3,732;1;748
Sub-Saharan Africa;Ethiopia;2020;118,917,672;73,227,447;43,095,975;74,119;1,383;2,881;5,680;2,510,187;1;231
Asia-Pacific;Federated States of Micronesia;2020;110,917;109,589;2;759;93;10;0;463;1;583
Asia-Pacific;Fiji;2020;914,963;636,082;52,888;2,300;587;220,533;189;2,385;1;242
Europe;Finland;2020;5,529,612;3,997,079;89,038;1,385,014;17,393;8,149;3,433;29,507;1;246
Europe;France;2020;65,905,278;30,624,609;5,995,942;28,105,801;469,906;84,205;455,858;168,956;1;250
Sub-Saharan Africa;Gabon;2020;2,322,539;1,944,962;200,613;133,826;0;0;0;43,138;1;266
Sub-Saharan Africa;Gambia;2020;2,515,734;72,789;2,440,330;451;0;1,662;0;502;1;270
Europe;Georgia;2020;3,795,678;3,346,749;397,058;37,513;442;461;1,689;11,766;1;268
Europe;Germany;2020;83,628,709;47,028,504;5,476,628;30,229,853;287,475;130,895;118,424;356,928;1;276
Sub-Saharan Africa;Ghana;2020;31,887,809;22,732,151;6,336,301;340,673;0;0;0;2,478,683;1;288
Europe;Greece;2020;10,699,369;9,573,407;547,831;507,404;2,640;9,160;4,173;54,754;1;300
Latin America-Caribbean;Grenada;2020;116,341;101,769;459;6,716;0;235;0;7,162;1;308
Latin America-Caribbean;Guatemala;2020;17,357,326;15,960,106;470;1,045,075;950;230;900;349,595;1;320
Sub-Saharan Africa;Guinea;2020;13,371,183;1,565,508;11,607,242;176,449;11,494;0;0;10,490;1;324
Sub-Saharan Africa;Guinea-Bissau;2020;2,013,255;437,234;1,127,001;233,987;0;0;0;215,033;1;624
Latin America-Caribbean;Guyana;2020;807,482;531,933;52,526;23,484;253;188,943;304;10,039;1;328
Latin America-Caribbean;Haiti;2020;11,243,848;9,975,391;209;1,060,822;358;0;239;206,829;1;332
Latin America-Caribbean;Honduras;2020;10,119,641;8,953,090;280;986,048;550;130;600;178,943;1;340
Asia-Pacific;Hong Kong;2020;7,490,236;1,404,128;20,076;5,344,641;630,077;22,725;2,422;66,165;1;344
Europe;Hungary;2020;9,749,457;7,055,569;13,574;2,630,004;18,741;5,618;12,963;12,988;1;348
Europe;Iceland;2020;366,614;274,663;4,446;72,756;4,912;588;570;8,679;1;352
Asia-Pacific;India;2020;1,402,617,696;31,062,655;213,057,854;45,725;9,547,094;1,113,204,194;4,227;35,695,954;1;356
Asia-Pacific;Indonesia;2020;274,814,866;28,202,346;238,990,485;252,844;1,861,947;4,353,883;2,910;1,150,448;1;360
Asia-Pacific;Iran;2020;87,723,443;125,102;87,524,408;44;16;192;8,108;65,573;1;364
Middle East-North Africa;Iraq;2020;42,116,605;157,929;41,905,332;336;0;208;0;52,799;1;368
Europe;Ireland;2020;4,982,607;4,046,675;84,266;777,348;9,656;34,625;2,720;27,317;1;372
Middle East-North Africa;Israel;2020;8,800,376;165,383;1,296,427;384,987;3,770;14,620;6,780,636;154,552;1;376
Europe;Italy;2020;59,912,769;48,212,882;2,647,802;7,951,880;367,605;255,140;42,550;434,909;1;380
Sub-Saharan Africa;Ivory Coast;2020;28,915,450;12,987,365;13,393,844;1,608,958;0;0;0;925,283;1;384
Latin America-Caribbean;Jamaica;2020;2,830,739;1,942,236;452;672,120;35;1,044;502;214,350;1;388
Asia-Pacific;Japan;2020;126,304,543;2,841,385;214,685;72,569,749;46,992,375;40,086;1,738;3,644,524;1;392
Middle East-North Africa;Jordan;2020;10,865,228;305,222;10,548,712;5,150;2,048;3,032;0;1,064;1;400
Asia-Pacific;Kazakhstan;2020;19,482,117;3,758,462;15,177,451;493,764;17,746;0;8,195;26,499;1;398
Sub-Saharan Africa;Kenya;2020;52,217,334;44,734,739;5,707,957;837,272;502;66,790;301;869,771;1;404
Asia-Pacific;Kiribati;2020;126,099;123,035;108;127;0;0;0;2,830;1;296
Europe;Kosovo;2020;1,751,417;98,050;1,650,893;2,435;0;0;39;0;1;412
Middle East-North Africa;Kuwait;2020;4,400,144;463,351;3,530,671;10,924;5,344;374,197;476;15,180;1;414
Asia-Pacific;Kyrgyzstan;2020;6,664,140;383,412;6,112,180;77,955;2,178;622;311;87,481;1;417
Asia-Pacific;Laos;2020;7,346,533;113,096;1,627;3,881;4,713,753;0;0;2,514,175;1;418
Europe;Latvia;2020;1,901,124;1,468,952;12,745;322,693;1,313;822;4,309;90,289;1;428
Middle East-North Africa;Lebanon;2020;5,702,398;1,591,319;3,865,288;1,072;379;988;322;243,029;1;422
Sub-Saharan Africa;Lesotho;2020;2,235,727;2,175,887;4,884;37,223;1;992;99;16,641;1;426
Sub-Saharan Africa;Liberia;2020;5,149,464;4,385,745;655,193;54,919;0;304;0;53,303;1;430
Middle East-North Africa;Libya;2020;7,045,399;36,961;6,974,559;3,480;18,177;6,341;134;5,746;1;434
Europe;Lithuania;2020;2,795,765;2,576,310;2,494;197,942;714;515;1,036;16,753;1;440
Europe;Luxembourg;2020;630,597;415,487;11,533;159,455;3,024;2,271;3,066;35,762;1;442
Asia-Pacific;Macao;2020;683,067;69,111;3,252;461,848;133,571;0;0;15,284;1;446
Sub-Saharan Africa;Madagascar;2020;28,953,557;21,485,099;335,713;6,455,437;7,950;18,434;103;650,821;1;450
Sub-Saharan Africa;Malawi;2020;19,533,888;17,065,264;2,256,536;183,881;302;13,508;302;14,094;1;454
Asia-Pacific;Malaysia;2020;33,889,559;3,101,974;21,729,035;286,258;6,396,860;2,074,780;0;300,653;1;458
Asia-Pacific;Maldives;2020;502,119;8,265;472,355;342;6,643;12,759;0;1,755;1;462
Sub-Saharan Africa;Mali;2020;21,713,836;558,426;20,440,039;548,341;0;0;0;167,029;1;466
Europe;Malta;2020;518,207;459,129;18,878;27,180;3,145;7,334;1,487;1,053;1;470
Sub-Saharan Africa;Mauritania;2020;4,600,131;10,754;4,562,658;4,899;0;0;102;21,717;1;478
Sub-Saharan Africa;Mauritius;2020;1,283,223;421,625;224,716;9,667;5,070;619,660;43;2,443;1;480
Latin America-Caribbean;Mexico;2020;126,799,055;113,070,626;7,971;13,484,255;23,158;4,967;59,338;148,740;1;484
Europe;Moldova;2020;3,069,131;3,054,839;5,562;7,177;109;0;602;840;1;498
Asia-Pacific;Mongolia;2020;3,290,786;44,178;116,036;1,343,558;1,682,746;100;0;104,168;1;496
Europe;Montenegro;2020;607,935;462,311;129,533;6,951;0;0;0;9,139;1;499
Middle East-North Africa;Morocco;2020;36,584,208;31,271;36,465,499;47,848;0;0;2,261;37,329;1;504
Sub-Saharan Africa;Mozambique;2020;30,783,688;18,882,699;5,980,424;4,398,231;494;9,873;0;1,511,968;1;508
Asia-Pacific;Myanmar;2020;53,016,522;3,252,951;1,773,591;31,093;47,211,798;232,962;99;514,027;1;104
Sub-Saharan Africa;Namibia;2020;2,728,762;2,470,508;3,247;153,666;767;1,425;110;99,038;1;516
Asia-Pacific;Nepal;2020;28,966,575;509,335;1,472,644;375;2,377,791;23,516,227;0;1,090,203;1;524
Europe;Netherlands;2020;17,636,731;6,191,032;970,139;9,544,336;52,697;99,261;30,870;748,396;1;528
Asia-Pacific;New Zealand;2020;5,069,895;2,044,350;68,921;2,603,635;60,459;141,383;5,617;145,530;1;554
Latin America-Caribbean;Nicaragua;2020;6,565,267;5,567,748;301;873,454;282;0;97;123,385;1;558
Sub-Saharan Africa;Niger;2020;23,717,614;131,926;23,274,875;290,355;0;0;0;20,457;1;562
Sub-Saharan Africa;Nigeria;2020;213,996,181;92,770,287;119,980,188;811,712;1,027;308;103;432,557;1;566
Asia-Pacific;North Korea;2020;26,136,312;100,372;2,614;19,044,889;396,455;414;0;6,591,569;1;408
Europe;North Macedonia;2020;1,872,016;1,210,919;650,100;9,653;213;0;89;1,042;1;807
Europe;Norway;2020;5,379,274;3,842,008;221,290;1,207,730;36,996;12,399;5,178;53,674;1;578
Middle East-North Africa;Oman;2020;4,522,497;365,012;3,698,828;6,344;5,069;431,058;320;15,867;1;512
Asia-Pacific;Pakistan;2020;235,001,746;2,988,865;226,880,801;29,925;24,673;5,028,337;214;48,931;1;586
Middle East-North Africa;Palestinian territories;2020;5,069,692;50,926;5,017,262;0;0;0;0;1,504;1;275
Latin America-Caribbean;Panama;2020;4,293,261;3,913,647;2,280;266,631;7,358;3,999;9,997;89,349;1;591
Asia-Pacific;Papua New Guinea;2020;9,815,746;9,726,407;7,339;30,479;272;221;101;50,926;1;598
Latin America-Caribbean;Paraguay;2020;6,603,740;6,176,329;748;280,506;1,497;0;1,098;143,562;1;600
Latin America-Caribbean;Peru;2020;32,838,580;31,029,831;7,089;1,676,968;10,491;3,116;1,873;109,211;1;604
Asia-Pacific;Philippines;2020;112,081,264;102,510,876;7,243,082;46,105;40,753;1,489;507;2,238,451;1;608
Europe;Poland;2020;38,171,012;34,807,541;2,792;3,300,106;4,089;1,987;4,470;50,027;1;616
Europe;Portugal;2020;10,370,519;8,822,654;42,398;1,429,155;20,659;22,715;3,390;29,549;1;620
Middle East-North Africa;Qatar;2020;2,803,375;351,778;2,127,531;7,671;6,124;297,986;305;11,982;1;634
Sub-Saharan Africa;Republic of the Congo;2020;5,752,791;5,305,600;84,261;299,098;227;202;111;63,291;1;178
Europe;Romania;2020;19,392,469;19,109,726;68,998;182,212;5,765;3,870;8,778;13,120;1;642
Europe;Russia;2020;146,371,299;102,351,281;11,992,213;29,564,433;515,871;104,273;123,026;1,720,202;1;643
Sub-Saharan Africa;Rwanda;2020;13,065,837;12,678,252;236,175;131,695;0;497;0;19,218;1;646
Asia-Pacific;Samoa;2020;211,944;206,930;54;136;79;79;20;4,647;1;882
Sub-Saharan Africa;Sao Tome and Principe;2020;217,435;183,593;199;21,076;0;0;0;12,566;1;678
Middle East-North Africa;Saudi Arabia;2020;30,991,207;1,356,705;28,726,928;34,742;22,774;812,626;851;36,581;1;682
Sub-Saharan Africa;Senegal;2020;16,789,220;403,510;16,378,970;3,476;51;0;51;3,161;1;686
Europe;Serbia;2020;6,907,812;6,323,101;305,329;276,925;1,005;244;661;548;1;688
Sub-Saharan Africa;Seychelles;2020;120,291;113,016;1,074;2,839;912;1,743;0;707;1;690
Sub-Saharan Africa;Sierra Leone;2020;7,912,558;1,569,006;6,341,649;953;0;769;0;182;1;694
Asia-Pacific;Singapore;2020;5,620,151;1,054,279;907,016;1,118,190;1,731,090;297,565;856;511,155;1;702
Europe;Slovakia;2020;5,455,024;4,022,824;2,989;1,381,739;6,695;971;2,067;37,738;1;703
Europe;Slovenia;2020;2,102,420;1,375,307;33,820;678,396;807;223;487;13,380;1;705
Asia-Pacific;Solomon Islands;2020;744,498;707,440;2,530;2,438;2,530;54;0;29,505;1;90
Sub-Saharan Africa;Somalia;2020;16,651,191;4,367;16,623,449;2,684;0;6,660;0;14,030;1;706
Sub-Saharan Africa;South Africa;2020;60,562,381;51,633,743;971,955;1,890,824;21,518;644,994;39,473;5,359,874;1;710
Asia-Pacific;South Korea;2020;51,858,482;16,587,217;160,763;25,028,780;9,853,408;47,613;100;180,600;1;410
Europe;Spain;2020;47,679,489;33,116,629;1,704,662;12,568,191;8,455;59,699;12,986;208,868;1;724
Asia-Pacific;Sri Lanka;2020;22,561,807;1,261,286;2,301,846;15,766;15,703,005;3,279,342;62;499;1;144
Latin America-Caribbean;St. Lucia;2020;178,251;163,516;169;10,519;0;555;0;3,491;1;662
Latin America-Caribbean;St. Vincent and the Grenadines;2020;103,526;89,358;111;8,141;0;89;0;5,828;1;670
Middle East-North Africa;Sudan;2020;46,789,231;228,321;46,253,736;263,523;0;579;0;43,071;1;729
Latin America-Caribbean;Suriname;2020;612,317;323,222;80,153;49,654;2,350;137,488;202;19,247;1;740
Europe;Sweden;2020;10,353,687;6,292,071;838,566;2,992,876;86,937;46,800;16,396;80,041;1;752
Europe;Switzerland;2020;8,640,582;5,320,913;525,613;2,658,287;53,493;46,609;19,529;16,137;1;756
Middle East-North Africa;Syria;2020;21,049,429;808,455;19,821,403;416,788;0;2,105;118;559;1;760
Asia-Pacific;Taiwan;2020;23,663,459;1,310,788;117,797;5,464,327;4,540,722;0;0;12,229,824;1;158
Asia-Pacific;Tajikistan;2020;9,749,311;97,515;9,643,445;7,268;409;358;0;317;1;762
Sub-Saharan Africa;Tanzania;2020;60,972,798;39,444,311;18,211,243;2,120,731;109;3,953;109;1,192,342;1;834
Asia-Pacific;Thailand;2020;71,641,484;740,494;3,234,319;9,048;67,624,158;28,923;200;4,341;1;764
Asia-Pacific;Timor-Leste;2020;1,326,054;1,319,892;3,404;847;402;171;0;1,338;1;626
Sub-Saharan Africa;Togo;2020;8,669,721;4,931,705;1,399,132;694,686;133;103;26;1,643,936;1;768
Asia-Pacific;Tonga;2020;105,704;103,340;64;614;62;83;0;1,540;1;776
Latin America-Caribbean;Trinidad and Tobago;2020;1,481,024;1,036,976;80,927;36,264;435;305,346;293;20,783;1;780
Middle East-North Africa;Tunisia;2020;11,974,057;29,537;11,890,693;52,843;0;0;985;0;1;788
Asia-Pacific;Turkey;2020;86,091,692;117,069;83,600,950;2,177,260;45,547;37,144;25,210;88,512;1;792
Asia-Pacific;Turkmenistan;2020;6,949,912;390,253;6,552,928;4,996;467;111;222;934;1;795
Sub-Saharan Africa;Uganda;2020;44,457,153;39,008,617;5,073,864;42,181;356;2,372;463;329,299;1;800
Europe;Ukraine;2020;44,680,015;37,276,433;253,705;6,766,595;149,418;5,658;42,764;185,442;1;804
Middle East-North Africa;United Arab Emirates;2020;9,448,524;1,352,428;6,891,776;31,731;15,792;1,110,535;1,418;44,843;1;784
Europe;United Kingdom;2020;67,351,862;33,251,891;4,289,719;27,087,678;307,872;1,141,913;296,871;975,918;1;826
North America;United States;2020;339,436,159;217,273,083;4,047,372;100,914,371;4,384,653;3,035,529;5,733,777;4,047,372;1;840
Latin America-Caribbean;Uruguay;2020;3,398,968;1,512,245;3,035;1,781,393;0;0;16,256;86,039;1;858
Asia-Pacific;Uzbekistan;2020;33,586,372;932,125;32,116,038;185,391;4,959;9,236;2,805;335,818;1;860
Asia-Pacific;Vanuatu;2020;298,859;249,558;58;4,084;48;58;38;45,015;1;548
Latin America-Caribbean;Venezuela;2020;28,444,078;25,063,617;13,957;2,766,969;6,070;0;4,992;588,472;1;862
Asia-Pacific;Vietnam;2020;98,079,191;8,170,016;70,694;66,373,765;22,578,634;40,495;125;845,463;1;704
Middle East-North Africa;Yemen;2020;36,134,864;20,138;36,085,366;22,243;197;2,798;73;4,047;1;887
Sub-Saharan Africa;Zambia;2020;19,059,395;18,731,646;97,449;11,389;363;3,061;191;215,296;1;894
Sub-Saharan Africa;Zimbabwe;2020;15,526,889;13,539,476;82,154;1,636,517;5,777;5,918;198;256,850;1;716
