question_uuid,persona_uuid,answer_raw
8fa76d14-71d7-4431-949b-58d91c0017af,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher veränderungsbereit
8fa76d14-71d7-4431-949b-58d91c0017af,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
8fa76d14-71d7-4431-949b-58d91c0017af,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
e49878db-5cf1-431f-b395-b93169b14f9c,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher detailorientiert
e49878db-5cf1-431f-b395-b93169b14f9c,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher detailorientiert
e49878db-5cf1-431f-b395-b93169b14f9c,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,2. eher nicht detailorientiert
e49878db-5cf1-431f-b395-b93169b14f9c,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher detailorientiert
33740cd5-aae3-41f1-8849-0c1aa20f4938,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher einfühlsam
33740cd5-aae3-41f1-8849-0c1aa20f4938,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher einfühlsam
33740cd5-aae3-41f1-8849-0c1aa20f4938,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,5. sehr einfühlsam
33740cd5-aae3-41f1-8849-0c1aa20f4938,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher einfühlsam
5a0cd0e1-7589-4799-a377-a97bc39498eb,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher gelassen
5a0cd0e1-7589-4799-a377-a97bc39498eb,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher gelassen
5a0cd0e1-7589-4799-a377-a97bc39498eb,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher gelassen
5a0cd0e1-7589-4799-a377-a97bc39498eb,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
1f238c95-657e-49d4-a2fa-f0afb6a41f37,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher tolerant
1f238c95-657e-49d4-a2fa-f0afb6a41f37,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher tolerant
1f238c95-657e-49d4-a2fa-f0afb6a41f37,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,4. eher tolerant
1f238c95-657e-49d4-a2fa-f0afb6a41f37,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
174c9716-7598-4ab5-b395-c67bc924a3f5,37bafb46-ae9a-4c08-a692-1916cc6df314,3. neutral
174c9716-7598-4ab5-b395-c67bc924a3f5,2089c0c0-7308-44ef-996c-d11ef6041751,3. neutral
174c9716-7598-4ab5-b395-c67bc924a3f5,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
174c9716-7598-4ab5-b395-c67bc924a3f5,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
083b54be-0ea1-4402-b8f7-9d0c22e8f4e6,37bafb46-ae9a-4c08-a692-1916cc6df314,5. sehr zielstrebig
083b54be-0ea1-4402-b8f7-9d0c22e8f4e6,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher zielstrebig
083b54be-0ea1-4402-b8f7-9d0c22e8f4e6,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,5. sehr zielstrebig
083b54be-0ea1-4402-b8f7-9d0c22e8f4e6,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
ad2de2b2-09a4-4077-951e-47dfacd9c29f,37bafb46-ae9a-4c08-a692-1916cc6df314,5. sehr delegationsfähig
ad2de2b2-09a4-4077-951e-47dfacd9c29f,2089c0c0-7308-44ef-996c-d11ef6041751,3. neutral
ad2de2b2-09a4-4077-951e-47dfacd9c29f,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,2. eher nicht delegationsfähig
ad2de2b2-09a4-4077-951e-47dfacd9c29f,b7fabcfe-d6c4-41f9-8910-2073a2fef652,2. eher nicht delegationsfähig
42851748-6bf3-46cc-ade5-8c0fd5d6d1fe,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher selbstbewusst
42851748-6bf3-46cc-ade5-8c0fd5d6d1fe,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher selbstbewusst
42851748-6bf3-46cc-ade5-8c0fd5d6d1fe,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
42851748-6bf3-46cc-ade5-8c0fd5d6d1fe,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
c4ac4b31-bd57-458e-b1b0-20bf91cddc8e,37bafb46-ae9a-4c08-a692-1916cc6df314,3. neutral
c4ac4b31-bd57-458e-b1b0-20bf91cddc8e,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher gründlich
c4ac4b31-bd57-458e-b1b0-20bf91cddc8e,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,2. eher nicht gründlich
c4ac4b31-bd57-458e-b1b0-20bf91cddc8e,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
36d2352a-4bed-40c3-ad99-9e8842a8cf6a,37bafb46-ae9a-4c08-a692-1916cc6df314,3. neutral
36d2352a-4bed-40c3-ad99-9e8842a8cf6a,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher ressourcenschonend
36d2352a-4bed-40c3-ad99-9e8842a8cf6a,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
36d2352a-4bed-40c3-ad99-9e8842a8cf6a,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
b23c2a55-b74d-477a-9f6b-db901c370d93,37bafb46-ae9a-4c08-a692-1916cc6df314,5. sehr entscheidungsfähig
b23c2a55-b74d-477a-9f6b-db901c370d93,2089c0c0-7308-44ef-996c-d11ef6041751,4. eher entscheidungsfähig
b23c2a55-b74d-477a-9f6b-db901c370d93,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,3. neutral
b23c2a55-b74d-477a-9f6b-db901c370d93,b7fabcfe-d6c4-41f9-8910-2073a2fef652,3. neutral
5ad8eda0-ae82-4ef8-ae0a-b874d94a6ac4,37bafb46-ae9a-4c08-a692-1916cc6df314,4. eher respektvoll
5ad8eda0-ae82-4ef8-ae0a-b874d94a6ac4,2089c0c0-7308-44ef-996c-d11ef6041751,5. sehr respektvoll
5ad8eda0-ae82-4ef8-ae0a-b874d94a6ac4,e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,5. sehr respektvoll
5ad8eda0-ae82-4ef8-ae0a-b874d94a6ac4,b7fabcfe-d6c4-41f9-8910-2073a2fef652,4. eher respektvoll
